TIMESTAMP,GUID,INSTRUCTOR,ERROR
2022-06-28 03:43:21,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 04:15:03,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 04:36:59,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 05:37:04,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 06:39:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 07:16:20,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 07:38:54,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 08:18:58,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 08:44:37,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 09:29:31,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 10:03:47,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 10:43:49,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 11:26:24,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 11:52:37,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-29 18:47:45,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 20:43:15,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 21:40:15,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 22:24:04,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 22:42:45,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 23:23:21,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-29 23:50:38,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 00:14:55,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 00:37:38,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 01:25:10,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 01:48:23,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 02:17:16,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 02:41:07,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 03:25:07,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 03:46:16,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 04:15:02,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 04:37:16,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 05:37:59,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 06:37:28,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 07:15:57,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 07:38:47,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 08:20:01,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 08:45:23,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 09:28:34,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 10:04:40,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 10:48:09,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 11:25:27,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 11:49:57,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 12:13:50,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 12:36:40,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 13:19:25,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 13:41:24,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 14:16:48,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 14:40:18,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 15:17:37,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 15:40:04,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 16:17:27,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-06-30 16:39:39,bdd150c8804a4849b8cf9c8e0c28f785,Julie,No offering on this day
2022-07-06 18:55:09,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 20:49:02,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 21:48:13,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 22:25:22,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 22:43:21,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 23:23:15,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-06 23:48:49,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-07 00:16:57,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
2022-07-07 00:38:45,07c0e269b1824adf90e259b7cc9b6859,Aly,No offering on this day
