TIMESTAMP,NEXT_CLASS,GUID,INSTRUCTOR,SPOTS_REMAINING
2022-03-30 09:49:22,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,15
2022-03-30 10:09:06,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,0
2022-03-30 12:31:07,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,1
2022-03-30 14:07:05,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,0
2022-03-30 14:07:08,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,14
2022-03-30 16:03:43,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,13
2022-03-30 16:34:41,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,1
2022-03-30 17:26:00,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,0
2022-03-30 17:26:02,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,18
2022-03-30 17:26:07,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,11
2022-03-30 19:05:03,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,13
2022-03-30 19:05:04,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,21
2022-03-30 20:07:16,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,11
2022-03-30 20:07:21,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,18
2022-03-30 20:45:28,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,8
2022-03-30 20:45:33,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,16
2022-03-30 22:04:20,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,7
2022-03-30 22:31:59,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,5
2022-03-30 23:09:46,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,4
2022-03-31 05:14:30,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,3
2022-03-31 08:11:27,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,2
2022-03-31 09:06:47,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,15
2022-03-31 09:52:29,2022-03-31 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,1
2022-03-31 09:52:34,2022-03-31 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,14
